Warning: --strictResponses has no effect when not using --responses
Using openai/gpt-oss-120b at https://openrouter.ai/api/v1/chat/completions with 3 attempts and NoRateLimiter
Running experiment for zod
Loading API from /work/zod/experiments/testpilot-2026-09/results/api-sample-n60-s20260919.json
Extracting snippets
Generating tests
test_0.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): FAILED
(node:9) [DEP0147] DeprecationWarning: In future versions of Node.js, fs.rmdir(path, { recursive: true }) will be removed. Use fs.rm(path, { recursive: true }) instead
(Use `node --trace-deprecation ...` to show where the warning was created)
test_1.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): PASSED
test_2.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): FAILED
test_3.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): FAILED
test_4.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): FAILED
test_5.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): PASSED
test_6.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_7.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_8.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_9.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_10.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_11.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_12.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_13.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_14.js (for zod.z.file at temperature 0, 3 snippets available): FAILED
test_15.js (for zod.z.file at temperature 0, 3 snippets available): FAILED
test_16.js (for zod.z.file at temperature 0, 3 snippets available): FAILED
test_17.js (for zod.z.file at temperature 0, 3 snippets available): FAILED
test_18.js (for zod.z.file at temperature 0, 3 snippets available): FAILED
test_19.js (for zod.z.file at temperature 0, 3 snippets available): PASSED
test_20.js (for zod.z.file at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatordyLUA4/report.json'
test_21.js (for zod.z.file at temperature 0, 3 snippets available): FAILED
test_22.js (for zod.z.nullish at temperature 0, 3 snippets available): FAILED
test_23.js (for zod.z.nullish at temperature 0, 3 snippets available): FAILED
test_24.js (for zod.z.nullish at temperature 0, 3 snippets available): PASSED
test_25.js (for zod.z.nullish at temperature 0, 3 snippets available): PASSED
test_26.js (for zod.z.nullish at temperature 0, 3 snippets available): PASSED
test_27.js (for zod.z.nullish at temperature 0, 3 snippets available): PASSED
test_28.js (for zod.z.readonly at temperature 0, 3 snippets available): PASSED
test_29.js (for zod.z.readonly at temperature 0, 3 snippets available): PASSED
test_30.js (for zod.z.readonly at temperature 0, 3 snippets available): FAILED
test_31.js (for zod.z.readonly at temperature 0, 3 snippets available): FAILED
test_32.js (for zod.z.readonly at temperature 0, 3 snippets available): FAILED
test_33.js (for zod.z.readonly at temperature 0, 3 snippets available): FAILED
test_34.js (for zod.z.map at temperature 0, 3 snippets available): FAILED
test_35.js (for zod.z.map at temperature 0, 3 snippets available): FAILED
test_36.js (for zod.z.map at temperature 0, 3 snippets available): FAILED
test_37.js (for zod.z.map at temperature 0, 3 snippets available): PASSED
test_38.js (for zod.z.map at temperature 0, 3 snippets available): FAILED
test_39.js (for zod.z.map at temperature 0, 3 snippets available): PASSED
test_40.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_41.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_42.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_43.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_44.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): PASSED
test_45.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): FAILED
test_46.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): FAILED
test_47.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): FAILED
test_48.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): FAILED
test_49.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): FAILED
test_50.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): FAILED
test_51.js (for zod.z.strictObject at temperature 0, 3 snippets available): FAILED
test_52.js (for zod.z.strictObject at temperature 0, 3 snippets available): FAILED
test_53.js (for zod.z.strictObject at temperature 0, 3 snippets available): FAILED
test_54.js (for zod.z.strictObject at temperature 0, 3 snippets available): PASSED
test_55.js (for zod.z.strictObject at temperature 0, 3 snippets available): FAILED
test_56.js (for zod.z.strictObject at temperature 0, 3 snippets available): PASSED
test_57.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_58.js (for zod.z.date at temperature 0, 3 snippets available): PASSED
test_59.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_60.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_61.js (for zod.z.date at temperature 0, 3 snippets available): PASSED
test_62.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_63.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_64.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_65.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_66.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_67.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_68.js (for zod.z.tuple at temperature 0, 3 snippets available): PASSED
test_69.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_70.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_71.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_72.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_73.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_74.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_75.js (for zod.z.guid at temperature 0, 2 snippets available): PASSED
test_76.js (for zod.z.guid at temperature 0, 2 snippets available): PASSED
test_77.js (for zod.z.guid at temperature 0, 2 snippets available): PASSED
test_78.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_79.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_80.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
test_81.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorxMAUKp/report.json'
